id,challan_id,track_id,timestamp,plate_number,confidence,location,camera_id,offense,fine_amount,status,full_image_path,rider_image_path,plate_image_path,pdf_path,officer_notes
75,CH-20260908-0240,b'\xf0\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:35:53,IND-TMP-240,0.42,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0240_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0240_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0240_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0240.pdf,Autonomous ByteTrack multi-frame verified detection.
74,CH-20260908-0222,b'\xde\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:34:01,IND-TMP-222,0.42,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0222_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0222_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0222_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0222.pdf,Autonomous ByteTrack multi-frame verified detection.
73,CH-20260908-0204,b'\xcc\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:32:08,IND-TMP-204,0.42,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0204_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0204_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0204_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0204.pdf,Autonomous ByteTrack multi-frame verified detection.
72,CH-20260908-0174,b'\xae\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:24:15,IND-TMP-174,0.5,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0174_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0174_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0174_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0174.pdf,Autonomous ByteTrack multi-frame verified detection.
71,CH-20260908-0173,b'\xad\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:24:12,IND-TMP-173,0.57,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0173_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0173_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0173_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0173.pdf,Autonomous ByteTrack multi-frame verified detection.
70,CH-20260908-0171,b'\xab\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:24:03,IND-TMP-171,0.66,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0171_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0171_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0171_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0171.pdf,Autonomous ByteTrack multi-frame verified detection.
69,CH-20260908-0164,b'\xa4\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:23:43,IND-TMP-164,0.58,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0164_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0164_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0164_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0164.pdf,Autonomous ByteTrack multi-frame verified detection.
68,CH-20260908-0147,b'\x93\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:23:21,IND-TMP-147,0.51,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0147_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0147_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0147_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0147.pdf,Autonomous ByteTrack multi-frame verified detection.
67,CH-20260908-0131,b'\x83\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:23:20,IND-TMP-131,0.49,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0131_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0131_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0131_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0131.pdf,Autonomous ByteTrack multi-frame verified detection.
66,CH-20260908-0132,b'\x84\x00\x00\x00\x00\x00\x00\x00',2026-09-08 22:21:24,IND-TMP-132,0.4,"Intersection 12, Ring Road North",CAM-NORTH-04,Section 129 / 194D MV Act - Riding Without Helmet,1000,Pending Review,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0132_full.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0132_rider.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\evidence\CH-20260908-0132_plate.jpg,C:\Users\mohil\OneDrive\Documents\SmartChallan ai\storage\challans\CH-20260908-0132.pdf,Autonomous ByteTrack multi-frame verified detection.
